sector,ticker,model,acc,auc
Consumer Defensive,CL,LR,0.5038167938931297,0.4749429933665008
Consumer Defensive,CL,RF,0.4910941475826972,0.48103233830845776
Consumer Defensive,CLX,LR,0.48293963254593175,0.49395828735378505
Consumer Defensive,CLX,RF,0.5380577427821522,0.547464687706908
Communication Services,CMCSA,LR,0.5188679245283019,0.530977399995538
Communication Services,CMCSA,RF,0.47877358490566035,0.4856658411975995
Financial Services,CME,LR,0.5027932960893855,0.49022403904046646
Financial Services,CME,RF,0.5167597765363129,0.5369965459327567
Consumer Cyclical,CMG,LR,0.4965034965034965,0.5176759980843747
Consumer Cyclical,CMG,RF,0.46386946386946387,0.4529909878531934
Industrials,CMI,LR,0.493573264781491,0.49120562839782544
Industrials,CMI,RF,0.493573264781491,0.4976814838503358
Utilities,CMS,LR,0.4986225895316804,0.4697581879400061
Utilities,CMS,RF,0.5013774104683195,0.48184879093970007
Healthcare,CNC,LR,0.5076142131979695,0.5317098312073186
Healthcare,CNC,RF,0.5253807106598984,0.5045226130653266
Utilities,CNP,LR,0.5220125786163522,0.5198080659872308
Utilities,CNP,RF,0.49056603773584906,0.4556450013879526
Financial Services,COF,LR,0.5225,0.4917861865527413
Financial Services,COF,RF,0.5325,0.5351185026955548
Healthcare,COO,LR,0.5213270142180095,0.5347708894878705
Healthcare,COO,RF,0.4834123222748815,0.4824348607367475
Energy,COP,LR,0.5179372197309418,0.5241382086008091
Energy,COP,RF,0.5,0.49899382206749443
Healthcare,COR,LR,0.5219941348973607,0.4729995090819833
Healthcare,COR,RF,0.5190615835777126,0.48262500876639314
Consumer Defensive,COST,LR,0.5114678899082569,0.5507859352313617
Consumer Defensive,COST,RF,0.5344036697247706,0.5379395240199482
Technology,CPAY,LR,0.5189003436426117,0.5022207522207522
Technology,CPAY,RF,0.5395189003436426,0.5311614061614063
Consumer Defensive,CPB,LR,0.49859154929577465,0.4924194164861766
Consumer Defensive,CPB,RF,0.49014084507042255,0.4802204102433431
Industrials,CPRT,LR,0.46808510638297873,0.46379588543767647
Industrials,CPRT,RF,0.45390070921985815,0.47176280758370315
Real Estate,CPT,LR,0.45901639344262296,0.5218211206896552
Real Estate,CPT,RF,0.4262295081967213,0.4608028017241379
Healthcare,CRL,LR,0.5150375939849624,0.5482046932428613
Healthcare,CRL,RF,0.48120300751879697,0.5103477523324851
Technology,CRM,LR,0.5261958997722096,0.5419629860677896
Technology,CRM,RF,0.5421412300683371,0.5529112081513827
Technology,CRWD,LR,0.580952380952381,0.6049382716049383
Technology,CRWD,RF,0.5333333333333333,0.5321350762527233
Technology,CSCO,LR,0.54337899543379,0.53
Technology,CSCO,RF,0.5182648401826484,0.5001785714285714
Real Estate,CSGP,LR,0.4382716049382716,0.4248894311422906
Real Estate,CSGP,RF,0.4876543209876543,0.4976361140765594
Industrials,CSX,LR,0.4830508474576271,0.4908365261813538
Industrials,CSX,RF,0.5225988700564972,0.5248243933588761
Industrials,CTAS,LR,0.5474006116207951,0.5057518796992481
Industrials,CTAS,RF,0.5229357798165137,0.49588345864661654
Energy,CTRA,LR,0.5060975609756098,0.5269490073378775
Energy,CTRA,RF,0.47865853658536583,0.4879688605803255
Technology,CTSH,LR,0.4986301369863014,0.5140456255308822
Technology,CTSH,RF,0.4931506849315068,0.48437689600776607
Basic Materials,CTVA,LR,0.4740740740740741,0.4956181150550795
Basic Materials,CTVA,RF,0.4740740740740741,0.48675642594859236
Healthcare,CVS,LR,0.5763888888888888,0.5830008411154484
Healthcare,CVS,RF,0.5277777777777778,0.5298056807643369
Energy,CVX,LR,0.4977578475336323,0.4309756097560976
Energy,CVX,RF,0.5112107623318386,0.5242581300813008
Consumer Cyclical,CZR,LR,0.5215827338129496,0.48644711513448835
Consumer Cyclical,CZR,RF,0.4784172661870504,0.5217990739295562
Utilities,D,LR,0.4742268041237113,0.5191742797854852
Utilities,D,RF,0.5231958762886598,0.5370280540059827
Industrials,DAL,LR,0.49324324324324326,0.4952777495683965
Industrials,DAL,RF,0.5382882882882883,0.555275718492942
Basic Materials,DD,LR,0.4375,0.4291202582728006
Basic Materials,DD,RF,0.4346590909090909,0.41091202582728004
Industrials,DE,LR,0.5013054830287206,0.48107444777747477
Industrials,DE,RF,0.5143603133159269,0.5128851922552495
Consumer Cyclical,DECK,LR,0.42528735632183906,0.4294803817603393
Consumer Cyclical,DECK,RF,0.47126436781609193,0.4840933191940615
Technology,DELL,LR,0.5454545454545454,0.5571059431524548
Technology,DELL,RF,0.4772727272727273,0.4739018087855297
Consumer Defensive,DG,LR,0.49754901960784315,0.5257493680028892
Consumer Defensive,DG,RF,0.5171568627450981,0.5245335259419767
Healthcare,DGX,LR,0.478494623655914,0.4355705861949358
Healthcare,DGX,RF,0.48655913978494625,0.47379754884957803
Consumer Cyclical,DHI,LR,0.5118733509234829,0.5109568417530946
Consumer Cyclical,DHI,RF,0.5224274406332454,0.5270296643247463
Healthcare,DHR,LR,0.5118110236220472,0.5045206461216164
Healthcare,DHR,RF,0.4566929133858268,0.441204035503611
Communication Services,DIS,LR,0.49440715883668906,0.48725706271288316
Communication Services,DIS,RF,0.4809843400447427,0.47281105990783406
Real Estate,DLR,LR,0.4738372093023256,0.4756328685528632
Real Estate,DLR,RF,0.47093023255813954,0.4722147015026398
Consumer Defensive,DLTR,LR,0.5242424242424243,0.5425359976491332
Consumer Defensive,DLTR,RF,0.47575757575757577,0.4934249191889508
Real Estate,DOC,LR,0.5490196078431373,0.48835213865888716
Real Estate,DOC,RF,0.5294117647058824,0.5323265691363851
Industrials,DOV,LR,0.5285285285285285,0.5700253715114172
Industrials,DOV,RF,0.5255255255255256,0.5191554911199711
Basic Materials,DOW,LR,0.5062344139650873,0.510770153430956
Basic Materials,DOW,RF,0.5411471321695761,0.5302988655105202
Consumer Cyclical,DPZ,LR,0.47103274559193953,0.47141109922030267
Consumer Cyclical,DPZ,RF,0.4987405541561713,0.497515670386791
Consumer Cyclical,DRI,LR,0.532394366197183,0.5518193941703182
Consumer Cyclical,DRI,RF,0.5070422535211268,0.518749603099003
Utilities,DTE,LR,0.5242966751918159,0.46776090675791265
Utilities,DTE,RF,0.5063938618925832,0.5011762189905903
Utilities,DUK,LR,0.47306791569086654,0.45215184286029575
Utilities,DUK,RF,0.48009367681498827,0.45570514235268156
Healthcare,DVA,LR,0.5063291139240507,0.4892490372272144
Healthcare,DVA,RF,0.48417721518987344,0.5084242618741978
Energy,DVN,LR,0.46475195822454307,0.44390430412934234
Energy,DVN,RF,0.47780678851174935,0.4844330347389119
Technology,DXC,LR,0.5288461538461539,0.5595414201183432
Technology,DXC,RF,0.5096153846153846,0.4947762573964497
Healthcare,DXCM,LR,0.5103244837758112,0.5033414549251654
Healthcare,DXCM,RF,0.4778761061946903,0.4872607030978071
Communication Services,EA,LR,0.517162471395881,0.5011833819365199
Communication Services,EA,RF,0.5331807780320366,0.5346878830142429
Consumer Cyclical,EBAY,LR,0.5224215246636771,0.5096921553170417
Consumer Cyclical,EBAY,RF,0.4977578475336323,0.4738948517373113
Basic Materials,ECL,LR,0.505464480874317,0.4944686557157224
Basic Materials,ECL,RF,0.4672131147540984,0.45462164386066495
Utilities,ED,LR,0.4914772727272727,0.4654185663012901
Utilities,ED,RF,0.5198863636363636,0.527904420086009
Industrials,EFX,LR,0.47606382978723405,0.4769953849202978
Industrials,EFX,RF,0.4654255319148936,0.4628245420312014
Financial Services,EG,LR,0.5608108108108109,0.5468484598081073
Financial Services,EG,RF,0.5608108108108109,0.5692053436165818
Utilities,EIX,LR,0.44984802431610943,0.4557158712541621
Utilities,EIX,RF,0.4316109422492401,0.4107103218645949
Consumer Defensive,EL,LR,0.4960835509138381,0.5183797385263388
Consumer Defensive,EL,RF,0.5065274151436031,0.5004786390241234
Healthcare,ELV,LR,0.493368700265252,0.49642374408650597
Healthcare,ELV,RF,0.519893899204244,0.517008335210633
Basic Materials,EMN,LR,0.47513812154696133,0.46664222873900296
Basic Materials,EMN,RF,0.5303867403314917,0.5139601661779081
Industrials,EMR,LR,0.5076530612244898,0.5047619047619047
Industrials,EMR,RF,0.4719387755102041,0.4867216117216117
Technology,ENPH,LR,0.41975308641975306,0.41067064892750477
Technology,ENPH,RF,0.49794238683127573,0.4774300841705132
Energy,EOG,LR,0.47282608695652173,0.4754432624113475
Energy,EOG,RF,0.5108695652173914,0.515588061465721
Technology,EPAM,LR,0.4794520547945205,0.4765037593984962
Technology,EPAM,RF,0.4589041095890411,0.45291353383458643
Real Estate,EQIX,LR,0.4649859943977591,0.45971818526475416
Real Estate,EQIX,RF,0.47058823529411764,0.48943194742828255
Real Estate,EQR,LR,0.5223880597014925,0.5575753238388321
Real Estate,EQR,RF,0.5611940298507463,0.5294854361983826
Energy,EQT,LR,0.5263157894736842,0.5128169406519922
Energy,EQT,RF,0.52046783625731,0.504806352744497
Utilities,ES,LR,0.4891304347826087,0.5101536195286196
Utilities,ES,RF,0.4746376811594203,0.5307239057239057
Real Estate,ESS,LR,0.5033333333333333,0.4757215773070148
Real Estate,ESS,RF,0.48333333333333334,0.4591219115587876
Industrials,ETN,LR,0.5401069518716578,0.5351239669421488
Industrials,ETN,RF,0.516042780748663,0.5121814738292011
Utilities,ETR,LR,0.4987714987714988,0.4921123321123321
Utilities,ETR,RF,0.4619164619164619,0.4693040293040292
Consumer Cyclical,ETSY,LR,0.5086705202312138,0.5309292649098474
Consumer Cyclical,ETSY,RF,0.4508670520231214,0.4656726768377254
Utilities,EVRG,LR,0.4827586206896552,0.44743405638273737
Utilities,EVRG,RF,0.521551724137931,0.5102411004459224
Healthcare,EW,LR,0.45454545454545453,0.4395691375868952
Healthcare,EW,RF,0.5278592375366569,0.5188072131598872
Utilities,EXC,LR,0.5153846153846153,0.5167740912933221
Utilities,EXC,RF,0.5256410256410257,0.5117814877430262
Industrials,EXPD,LR,0.5259515570934256,0.5008638065073423
Industrials,EXPD,RF,0.4671280276816609,0.49260965543718205
Consumer Cyclical,EXPE,LR,0.4607329842931937,0.4881782945736435
Consumer Cyclical,EXPE,RF,0.4607329842931937,0.48570044296788484
Real Estate,EXR,LR,0.49019607843137253,0.48467465753424666
Real Estate,EXR,RF,0.49673202614379086,0.49338613013698635
Consumer Cyclical,F,LR,0.4899328859060403,0.4610999598554797
