model,Sector,fold,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
RandomForest,Financial Services,1,0.5136773391358408,0.5167680403477609,0.5602866779089376,0.5476648351648352,0.5735040276179517,0.016970484019383707,0.5402548958657134,0.5402548958657134,12868.0,,,,,,,,,,1
XGBoost,Financial Services,1,0.5244016164128069,0.5240294624357421,0.5751770095793419,0.5558089616313389,0.5959436133486766,0.03662027381366764,0.5402548958657134,0.5402548958657134,12868.0,,,,,,,,,,1
LSTM,Financial Services,1,0.5275567298725521,0.513464347139197,0.6123196123967287,0.5488975415595405,0.7189873417721518,0.02525539334558443,0.5402548958657134,0.5402548958657134,12868.0,0.012816216277754328,0.006352936043573876,0.07733772042248133,0.005071789216622693,0.19184758476898855,0.006115648499545794,0.0,0.0,0.0,5
LogisticRegression,Financial Services,2,0.4941522467683469,0.5001923261564134,0.6150723430831685,0.49163823945419755,0.8212647671994441,-0.0019868309233189167,0.5078995964708296,0.4921004035291704,14621.0,,,,,,,,,,1
RandomForest,Financial Services,2,0.496067300458245,0.495842734250582,0.5773775381438568,0.49155190936614906,0.6995135510771369,-0.0016770607725994538,0.5078995964708296,0.4921004035291704,14621.0,,,,,,,,,,1
XGBoost,Financial Services,2,0.5005813555844334,0.501166281459111,0.5952776854007317,0.4950677606711533,0.7463516330785267,0.010062546435296374,0.5078995964708296,0.4921004035291704,14621.0,,,,,,,,,,1
LSTM,Financial Services,2,0.4955064633062034,0.5062240682072847,0.6053960880006359,0.4921145049432007,0.7865184155663656,0.00011238438986210572,0.5078995964708296,0.4921004035291704,14621.0,0.002534946932072346,0.002378246645480062,0.004683024387858259,0.001637135565767376,0.01317468760099278,0.006378519406164199,0.0,0.0,0.0,5
LogisticRegression,Financial Services,3,0.5086248701073779,0.4987620511332672,0.6121712504784297,0.5170884906706078,0.7501004957791773,0.00028149274167297157,0.5170072739868375,0.5170072739868375,14435.0,,,,,,,,,,1
RandomForest,Financial Services,3,0.5096640110841704,0.506175397403246,0.5559041284979295,0.5227138643067847,0.5935950690071017,0.01361773244552391,0.5170072739868375,0.5170072739868375,14435.0,,,,,,,,,,1
XGBoost,Financial Services,3,0.5060616556979564,0.5065716628886096,0.5642342011978976,0.5187099674120688,0.6185180222430658,0.004320066179856061,0.5170072739868375,0.5170072739868375,14435.0,,,,,,,,,,1
