model,Sector,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
RandomForest,Consumer Defensive,0.5063480405015477,0.5052048018748158,0.5698612603140499,0.514040658117191,0.6392820512820513,0.006679088006776657,0.5115156602486753,0.5115156602486753,38122.0,,,,,,,,,,1
XGBoost,Consumer Defensive,0.5054037038980116,0.5045860975025404,0.5834345933764885,0.5125179521018515,0.6771282051282052,0.0028949826224902147,0.5115156602486753,0.5115156602486753,38122.0,,,,,,,,,,1
LSTM,Consumer Defensive,0.5106237867897802,0.5053939192408208,0.6316512422024233,0.5135174751437115,0.8215282051282051,0.008801738352899283,0.5115156602486753,0.5115156602486753,38122.0,0.0030317615624530173,0.0035902430098910237,0.013342258719704458,0.0016731488351554487,0.04454700625118882,0.006746000843734138,0.0,0.0,0.0,5
LogisticRegression,Utilities,0.5094530041041513,0.4910246051562741,0.6219537488333506,0.5222256084287518,0.7687624174838172,-0.009851850626729051,0.5248940321603983,0.5248940321603983,29726.0,,,,,,,,,,1
RandomForest,Utilities,0.5039695889120636,0.501279762679059,0.553736267062135,0.5246014451198532,0.5862975068897007,-0.0006979619721881814,0.5248940321603983,0.5248940321603983,29726.0,,,,,,,,,,1
XGBoost,Utilities,0.5009755769360156,0.4971203116098917,0.5534886520980073,0.5218230319541404,0.5892456578863039,-0.007418586106348463,0.5248940321603983,0.5248940321603983,29726.0,,,,,,,,,,1
LSTM,Utilities,0.5005920742784095,0.49097639566433776,0.5688751918060047,0.5198024599143019,0.6313913990899186,-0.01301106321185563,0.5248940321603983,0.5248940321603983,29726.0,0.006114151848642951,0.003511237698393579,0.030234297536784492,0.0031739467776325534,0.07101715586636974,0.006610751422641102,0.0,0.0,0.0,5
LogisticRegression,Basic Materials,0.4976050362665937,0.49655790870693917,0.5727586608216627,0.5040628200751109,0.6631333093783687,-0.010672187506248333,0.507823548195794,0.507823548195794,21921.0,,,,,,,,,,1
RandomForest,Basic Materials,0.4981980749053419,0.4973471802754079,0.5380480430035276,0.5052050473186119,0.5754581386992454,-0.006135303229751384,0.507823548195794,0.507823548195794,21921.0,,,,,,,,,,1
XGBoost,Basic Materials,0.4993841521828384,0.4972774485478099,0.5408752405656431,0.5061863743148003,0.5806683435141933,-0.0038684692144326308,0.507823548195794,0.507823548195794,21921.0,,,,,,,,,,1
