model,Sector,seed,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,train_major,n
LogisticRegression,Financial Services,0,0.5167409438921267,0.4994919185428592,0.6344146441615699,0.5270102870684548,0.7968024755028366,0.003044518155071917,0.5262398583019083,0.5262398583019083,0.517208564002335,70008
RandomForest,Financial Services,0,0.5087275739915438,0.501442631264414,0.5718802514470654,0.5281418126638157,0.6235172769468799,0.004878721319318458,0.5262398583019083,0.5262398583019083,0.517208564002335,70008
XGBoost,Financial Services,0,0.5126699805736488,0.5042744375293713,0.5953818237882328,0.5286869708075319,0.6813332971417714,0.007114566106376763,0.5262398583019083,0.5262398583019083,0.517208564002335,70008
LSTM,Financial Services,0,0.5203976688378471,0.4969418325213505,0.6498268741395853,0.5276493403112985,0.8456339404467849,0.006550407185288753,0.5262398583019083,0.5262398583019083,0.517208564002335,70008
LSTM,Financial Services,1,0.5114986858644727,0.5008606488354578,0.6202178813756954,0.5248270936701248,0.7579870253250455,-0.0050353830180215305,0.5262398583019083,0.5262398583019083,0.517208564002335,70008
LSTM,Financial Services,2,0.5161552965375386,0.49785117947837415,0.631538871544963,0.5269377382465057,0.7879536386091582,0.002685905157372662,0.5262398583019083,0.5262398583019083,0.517208564002335,70008
LSTM,Financial Services,3,0.5108987544280653,0.49770327523550195,0.6094375563185089,0.5255754475703325,0.7251431828669146,-0.0021663264719147656,0.5262398583019083,0.5262398583019083,0.517208564002335,70008
LSTM,Financial Services,4,0.516769512055765,0.502843985603413,0.6212155141526334,0.5286920394122467,0.7529925897776933,0.00849500096719777,0.5262398583019083,0.5262398583019083,0.517208564002335,70008
LogisticRegression,Consumer Defensive,0,0.5104926289281779,0.5034685690209264,0.646511716012199,0.5126010032741581,0.8751282051282051,0.005699767380912554,0.5115156602486753,0.5115156602486753,0.5227526055861832,38122
RandomForest,Consumer Defensive,0,0.5063480405015477,0.5052048018748158,0.5698612603140499,0.514040658117191,0.6392820512820513,0.006679088006776657,0.5115156602486753,0.5115156602486753,0.5227526055861832,38122
XGBoost,Consumer Defensive,0,0.5054037038980116,0.5045860975025404,0.5834345933764885,0.5125179521018515,0.6771282051282052,0.0028949826224902147,0.5115156602486753,0.5115156602486753,0.5227526055861832,38122
LSTM,Consumer Defensive,0,0.5128010072923771,0.5049083356052533,0.6488172896931192,0.5138826489352143,0.8798461538461538,0.012573902812115305,0.5115156602486753,0.5115156602486753,0.5227526055861832,38122
LSTM,Consumer Defensive,1,0.5053512407533708,0.5007656700511389,0.6167665887613047,0.51082309375526,0.7781538461538462,-0.002602812006174843,0.5115156602486753,0.5115156602486753,0.5227526055861832,38122
LSTM,Consumer Defensive,2,0.5124337652798909,0.5082829972268808,0.6262943080603977,0.5150973972285611,0.7987179487179488,0.014031606669332014,0.5115156602486753,0.5115156602486753,0.5227526055861832,38122
LSTM,Consumer Defensive,3,0.5110172603745868,0.5034174976385802,0.6422004261118256,0.5131752507745636,0.857897435897436,0.008066047486250201,0.5115156602486753,0.5115156602486753,0.5227526055861832,38122
LSTM,Consumer Defensive,4,0.5115156602486753,0.5095950956822506,0.6241775983854693,0.5146089850249584,0.793025641025641,0.011939946802973738,0.5115156602486753,0.5115156602486753,0.5227526055861832,38122
